NAME : ei8246
COMMENT : 8246 locations in Ireland
COMMENT : Derived from National Imagery and Mapping Agency data
TYPE : TSP
DIMENSION : 8246
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
18 51500.8333 9708.6111
19 51505.8333 9350.8333
20 51511.3889 9585.0000
21 51513.3333 9305.5556
22 51513.6111 9233.0556
23 51515.8333 9193.8889
24 51519.7222 9271.9444
25 51520.8333 9656.1111
26 51522.2222 9394.1667
27 51522.7778 9502.5000
28 51524.4444 9602.2222
29 51526.3889 9183.3333
30 51530.2778 9331.9444
31 51531.9444 9146.6667
32 51533.3333 9116.6667
44 51550.0000 9588.6111
45 51550.0000 9833.3333
46 51551.9444 9132.2222
47 51553.3333 8912.2222
48 51554.4444 8957.7778
49 51555.2778 9273.3333
50 51557.7778 9412.5000
51 51561.9444 9781.3889
52 51563.8889 9413.6111
53 51564.4444 9390.0000
54 51566.6667 8914.4444
55 51566.6667 9033.3333
56 51567.5000 9079.1667
57 51569.7222 9510.8333
58 51571.3889 9743.8889
59 51571.6667 9138.8889
60 51571.9444 9358.0556
61 51572.7778 9480.8333
62 51573.0556 9118.8889
63 51573.3333 9062.5000
64 51577.5000 8881.6667
65 51577.5000 9698.6111
156 51650.0000 8900.0000
157 51650.0000 8966.6667
158 51650.0000 9266.6667
677 51917.5000 8940.0000
678 51918.0556 8470.5556
679 51918.8889 9085.8333
680 51919.7222 8260.5556
681 51920.8333 8723.3333
682 51921.1111 7913.3333
683 51921.1111 9386.1111
684 51921.9444 8086.9444
685 51921.9444 8182.5000
686 51922.2222 8897.2222
687 51922.7778 8554.4444
688 51923.3333 8605.5556
689 51924.7222 8516.3889
690 51924.7222 8648.8889
691 51925.5556 9251.6667
692 51926.3889 8389.1667
709 51933.3333 8566.6667
710 51933.3333 8600.0000
711 51933.3333 8650.0000
712 51933.3333 8800.0000
713 51933.3333 9133.3333
714 51933.3333 9166.6667
715 51933.3333 9450.0000
1141 52116.6667 9633.3333
1157 52125.0000 10115.0000
1158 52125.0000 9523.0556
1159 52125.2778 8410.0000
1872 52316.6667 9266.6667
1874 52316.9444 7966.6667
1875 52317.2222 6600.0000
1876 52317.5000 7746.6667
1877 52317.7778 6795.8333
1878 52317.7778 6966.1111
1879 52318.3333 6605.2778
1880 52318.3333 6855.0000
1881 52318.3333 7003.3333
1882 52318.3333 7088.0556
1883 52318.3333 9382.5000
1884 52318.3333 9785.2778
1885 52318.8889 7854.1667
1886 52319.4444 7324.1667
1887 52319.4444 9359.4444
2525 52551.6667 7970.2778
2526 52552.5000 8271.9444
2527 52552.7778 9281.3889
2528 52553.0556 6431.3889
2529 52553.3333 6560.0000
2530 52553.6111 8991.3889
3232 52838.8889 6805.5556
3233 52839.4444 6859.7222
3234 52840.0000 6100.2778
4674 53252.5000 8628.3333
4675 53253.6111 9246.1111
4676 53254.1667 6900.5556
4677 53254.1667 7651.9444
4678 53254.1667 8812.2222
4679 53254.4444 6147.7778
4680 53255.0000 7893.6111
4681 53255.0000 8545.8333
4682 53255.2778 7256.9444
4683 53255.5556 8346.1111
4684 53255.5556 9580.0000
4685 53255.8333 7065.5556
4686 53255.8333 7273.8889
4687 53256.1111 7601.6667
5576 53549.1667 6082.7778
5577 53550.0000 10116.6667
5578 53550.0000 7716.6667
5595 53557.2222 6156.9444
5596 53559.1667 6656.6667
5597 53559.7222 6334.4444
5598 53560.5556 6271.6667
5599 53561.3889 9917.2222
5600 53562.5000 9962.7778
5601 53563.3333 6147.2222
5602 53564.7222 6355.2778
5603 53566.1111 6385.5556
5604 53566.3889 9922.2222
5605 53566.6667 10069.7222
5606 53566.6667 6579.7222
5607 53566.6667 6583.3333
5608 53566.6667 7700.0000
5609 53566.6667 7766.6667
5610 53566.6667 7883.3333
6351 53988.0556 7386.6667
6352 53988.3333 8350.0000
6359 53989.4444 9026.1111
6360 53990.0000 6605.2778
6361 53990.8333 7360.5556
6362 53990.8333 8063.6111
6363 53991.1111 7787.7778
6364 53991.1111 7830.5556
6365 53991.3889 7079.4444
6366 53991.3889 8789.7222
6367 53992.2222 7545.8333
7625 54665.0000 8613.8889
7626 54666.6667 8233.3333
7627 54668.6111 8784.7222
7628 54669.4444 8145.5556
7629 54669.7222 8567.7778
7630 54671.1111 8035.8333
7631 54671.6667 8343.3333
7632 54672.5000 8386.6667
7633 54672.5000 8420.5556
8242 55349.4444 7345.0000
8243 55350.0000 7333.3333
8244 55357.5000 7311.6667
8245 55369.1667 7337.5000
8246 55376.9444 7370.5556
EOF
